NC006432_1_LEFT	NC006432_1_RIGHT
NC006432_3_LEFT	NC006432_3_RIGHT
NC006432_5_LEFT	NC006432_5_RIGHT
NC006432_7_LEFT	NC006432_7_RIGHT
NC006432_9_LEFT	NC006432_9_RIGHT
NC006432_11_LEFT	NC006432_11_RIGHT
NC006432_13_LEFT	NC006432_13_RIGHT
NC006432_15_LEFT	NC006432_15_RIGHT
NC006432_17_LEFT	NC006432_17_RIGHT
NC006432_19_LEFT	NC006432_19_RIGHT
NC006432_21_LEFT	NC006432_21_RIGHT
NC006432_23_LEFT	NC006432_23_RIGHT
NC006432_2_LEFT	NC006432_2_RIGHT
NC006432_4_LEFT	NC006432_4_RIGHT
NC006432_6_LEFT	NC006432_6_RIGHT
NC006432_8_LEFT	NC006432_8_RIGHT
NC006432_10_LEFT	NC006432_10_RIGHT
NC006432_12_LEFT	NC006432_12_RIGHT
NC006432_14_LEFT	NC006432_14_RIGHT
NC006432_16_LEFT	NC006432_16_RIGHT
NC006432_18_LEFT	NC006432_18_RIGHT
NC006432_20_LEFT	NC006432_20_RIGHT
NC006432_22_LEFT	NC006432_22_RIGHT
NC006432_24_LEFT	NC006432_24_RIGHT
