forward	reverse	sample	sample_library
/home/inrb/Desktop/BaseCalls/INRB-000576_S13_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-000576_S13_L001_R2_001.fastq.gz	INRB-000576	INRB-000576_L1
/home/inrb/Desktop/BaseCalls/INRB-001051_S2_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-001051_S2_L001_R2_001.fastq.gz	INRB-001051	INRB-001051_L1
/home/inrb/Desktop/BaseCalls/INRB-001151_S3_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-001151_S3_L001_R2_001.fastq.gz	INRB-001151	INRB-001151_L1
/home/inrb/Desktop/BaseCalls/INRB-001158_S4_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-001158_S4_L001_R2_001.fastq.gz	INRB-001158	INRB-001158_L1
/home/inrb/Desktop/BaseCalls/INRB-001193_S1_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-001193_S1_L001_R2_001.fastq.gz	INRB-001193	INRB-001193_L1
/home/inrb/Desktop/BaseCalls/INRB-001987_S18_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-001987_S18_L001_R2_001.fastq.gz	INRB-001987	INRB-001987_L1
/home/inrb/Desktop/BaseCalls/INRB-002017_S20_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-002017_S20_L001_R2_001.fastq.gz	INRB-002017	INRB-002017_L1
/home/inrb/Desktop/BaseCalls/INRB-002239_S5_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-002239_S5_L001_R2_001.fastq.gz	INRB-002239	INRB-002239_L1
/home/inrb/Desktop/BaseCalls/INRB-002976_S17_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-002976_S17_L001_R2_001.fastq.gz	INRB-002976	INRB-002976_L1
/home/inrb/Desktop/BaseCalls/INRB-003127_S19_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-003127_S19_L001_R2_001.fastq.gz	INRB-003127	INRB-003127_L1
/home/inrb/Desktop/BaseCalls/INRB-005318_S21_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005318_S21_L001_R2_001.fastq.gz	INRB-005318	INRB-005318_L1
/home/inrb/Desktop/BaseCalls/INRB-005439_S7_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005439_S7_L001_R2_001.fastq.gz	INRB-005439	INRB-005439_L1
/home/inrb/Desktop/BaseCalls/INRB-005444_S8_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005444_S8_L001_R2_001.fastq.gz	INRB-005444	INRB-005444_L1
/home/inrb/Desktop/BaseCalls/INRB-005697_S16_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005697_S16_L001_R2_001.fastq.gz	INRB-005697	INRB-005697_L1
/home/inrb/Desktop/BaseCalls/INRB-005771_S23_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005771_S23_L001_R2_001.fastq.gz	INRB-005771	INRB-005771_L1
/home/inrb/Desktop/BaseCalls/INRB-005773_S15_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005773_S15_L001_R2_001.fastq.gz	INRB-005773	INRB-005773_L1
/home/inrb/Desktop/BaseCalls/INRB-005999_S24_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-005999_S24_L001_R2_001.fastq.gz	INRB-005999	INRB-005999_L1
/home/inrb/Desktop/BaseCalls/INRB-006309_S14_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-006309_S14_L001_R2_001.fastq.gz	INRB-006309	INRB-006309_L1
/home/inrb/Desktop/BaseCalls/INRB-006732_S11_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-006732_S11_L001_R2_001.fastq.gz	INRB-006732	INRB-006732_L1
/home/inrb/Desktop/BaseCalls/INRB-006803_S22_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-006803_S22_L001_R2_001.fastq.gz	INRB-006803	INRB-006803_L1
/home/inrb/Desktop/BaseCalls/INRB-006885_S10_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-006885_S10_L001_R2_001.fastq.gz	INRB-006885	INRB-006885_L1
/home/inrb/Desktop/BaseCalls/INRB-007584_S6_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-007584_S6_L001_R2_001.fastq.gz	INRB-007584	INRB-007584_L1
/home/inrb/Desktop/BaseCalls/INRB-007950_S9_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-007950_S9_L001_R2_001.fastq.gz	INRB-007950	INRB-007950_L1
/home/inrb/Desktop/BaseCalls/INRB-008550_S12_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/INRB-008550_S12_L001_R2_001.fastq.gz	INRB-008550	INRB-008550_L1
/home/inrb/Desktop/BaseCalls/NTC_S25_L001_R1_001.fastq.gz	/home/inrb/Desktop/BaseCalls/NTC_S25_L001_R2_001.fastq.gz	NTC	NTC_L1
