forward	reverse	sample	sample_library
/data/analysis/20190919_ivar/BEN28642_S1_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN28642_S1_L001_R2_001.fastq	BEN28642	BEN28642_L1
/data/analysis/20190919_ivar/BEN28940_S2_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN28940_S2_L001_R2_001.fastq	BEN28940	BEN28940_L1
/data/analysis/20190919_ivar/BEN29679_S3_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN29679_S3_L001_R2_001.fastq	BEN29679	BEN29679_L1
/data/analysis/20190919_ivar/BEN29683_S4_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN29683_S4_L001_R2_001.fastq	BEN29683	BEN29683_L1
/data/analysis/20190919_ivar/BEN30125_S5_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN30125_S5_L001_R2_001.fastq	BEN30125	BEN30125_L1
/data/analysis/20190919_ivar/BEN30424_S6_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN30424_S6_L001_R2_001.fastq	BEN30424	BEN30424_L1
/data/analysis/20190919_ivar/BEN30473_S7_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN30473_S7_L001_R2_001.fastq	BEN30473	BEN30473_L1
/data/analysis/20190919_ivar/BEN30481_S8_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN30481_S8_L001_R2_001.fastq	BEN30481	BEN30481_L1
/data/analysis/20190919_ivar/BEN31553_S9_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN31553_S9_L001_R2_001.fastq	BEN31553	BEN31553_L1
/data/analysis/20190919_ivar/BEN31595_S10_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN31595_S10_L001_R2_001.fastq	BEN31595	BEN31595_L1
/data/analysis/20190919_ivar/BEN31602_S11_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN31602_S11_L001_R2_001.fastq	BEN31602	BEN31602_L1
/data/analysis/20190919_ivar/BEN31891_S12_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN31891_S12_L001_R2_001.fastq	BEN31891	BEN31891_L1
/data/analysis/20190919_ivar/BEN32312_S13_L001_R1_001.fastq	/data/analysis/20190919_ivar/BEN32312_S13_L001_R2_001.fastq	BEN32312	BEN32312_L1
/data/analysis/20190919_ivar/BTB24969_S14_L001_R1_001.fastq	/data/analysis/20190919_ivar/BTB24969_S14_L001_R2_001.fastq	BTB24969	BTB24969_L1
/data/analysis/20190919_ivar/BTB24970_S15_L001_R1_001.fastq	/data/analysis/20190919_ivar/BTB24970_S15_L001_R2_001.fastq	BTB24970	BTB24970_L1
/data/analysis/20190919_ivar/BTB24973_S16_L001_R1_001.fastq	/data/analysis/20190919_ivar/BTB24973_S16_L001_R2_001.fastq	BTB24973	BTB24973_L1
/data/analysis/20190919_ivar/BTB25100_S17_L001_R1_001.fastq	/data/analysis/20190919_ivar/BTB25100_S17_L001_R2_001.fastq	BTB25100	BTB25100_L1
/data/analysis/20190919_ivar/BTB25101_S18_L001_R1_001.fastq	/data/analysis/20190919_ivar/BTB25101_S18_L001_R2_001.fastq	BTB25101	BTB25101_L1
/data/analysis/20190919_ivar/BTB25102_S19_L001_R1_001.fastq	/data/analysis/20190919_ivar/BTB25102_S19_L001_R2_001.fastq	BTB25102	BTB25102_L1
/data/analysis/20190919_ivar/MAN7742_S20_L001_R1_001.fastq	/data/analysis/20190919_ivar/MAN7742_S20_L001_R2_001.fastq	MAN7742	MAN7742_L1
/data/analysis/20190919_ivar/MAN7771_S21_L001_R1_001.fastq	/data/analysis/20190919_ivar/MAN7771_S21_L001_R2_001.fastq	MAN7771	MAN7771_L1
/data/analysis/20190919_ivar/MAN7843_S22_L001_R1_001.fastq	/data/analysis/20190919_ivar/MAN7843_S22_L001_R2_001.fastq	MAN7843	MAN7843_L1
/data/analysis/20190919_ivar/MAN7880_S23_L001_R1_001.fastq	/data/analysis/20190919_ivar/MAN7880_S23_L001_R2_001.fastq	MAN7880	MAN7880_L1
/data/analysis/20190919_ivar/MAN7882_S24_L001_R1_001.fastq	/data/analysis/20190919_ivar/MAN7882_S24_L001_R2_001.fastq	MAN7882	MAN7882_L1
