forward	reverse	sample	sample_library
/data/analysis/20191223_ivar/BIA021_S5_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/BIA021_S5_L001_R2_001.fastq.gz	BIA021	BIA021_L1
/data/analysis/20191223_ivar/BIA023_S4_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/BIA023_S4_L001_R2_001.fastq.gz	BIA023	BIA023_L1
/data/analysis/20191223_ivar/BIA071_S6_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/BIA071_S6_L001_R2_001.fastq.gz	BIA071	BIA071_L1
/data/analysis/20191223_ivar/HELA_S23_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/HELA_S23_L001_R2_001.fastq.gz	HELA	HELA_L1
/data/analysis/20191223_ivar/KOM0996_S22_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM0996_S22_L001_R2_001.fastq.gz	KOM0996	KOM0996_L1
/data/analysis/20191223_ivar/KOM2720_S21_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2720_S21_L001_R2_001.fastq.gz	KOM2720	KOM2720_L1
/data/analysis/20191223_ivar/KOM2733_S20_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2733_S20_L001_R2_001.fastq.gz	KOM2733	KOM2733_L1
/data/analysis/20191223_ivar/KOM2735_S7_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2735_S7_L001_R2_001.fastq.gz	KOM2735	KOM2735_L1
/data/analysis/20191223_ivar/KOM2844a_S8_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2844a_S8_L001_R2_001.fastq.gz	KOM2844a	KOM2844a_L1
/data/analysis/20191223_ivar/KOM2844b_S15_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2844b_S15_L001_R2_001.fastq.gz	KOM2844b	KOM2844b_L1
/data/analysis/20191223_ivar/KOM2923_S16_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2923_S16_L001_R2_001.fastq.gz	KOM2923	KOM2923_L1
/data/analysis/20191223_ivar/KOM2992_S14_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM2992_S14_L001_R2_001.fastq.gz	KOM2992	KOM2992_L1
/data/analysis/20191223_ivar/KOM3117_S11_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3117_S11_L001_R2_001.fastq.gz	KOM3117	KOM3117_L1
/data/analysis/20191223_ivar/KOM3174_S13_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3174_S13_L001_R2_001.fastq.gz	KOM3174	KOM3174_L1
/data/analysis/20191223_ivar/KOM3175_S12_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3175_S12_L001_R2_001.fastq.gz	KOM3175	KOM3175_L1
/data/analysis/20191223_ivar/KOM3184_S17_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3184_S17_L001_R2_001.fastq.gz	KOM3184	KOM3184_L1
/data/analysis/20191223_ivar/KOM3199_S9_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3199_S9_L001_R2_001.fastq.gz	KOM3199	KOM3199_L1
/data/analysis/20191223_ivar/KOM3226_S10_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3226_S10_L001_R2_001.fastq.gz	KOM3226	KOM3226_L1
/data/analysis/20191223_ivar/KOM3261_S19_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3261_S19_L001_R2_001.fastq.gz	KOM3261	KOM3261_L1
/data/analysis/20191223_ivar/KOM3262_S18_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/KOM3262_S18_L001_R2_001.fastq.gz	KOM3262	KOM3262_L1
/data/analysis/20191223_ivar/MAN8939_S2_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/MAN8939_S2_L001_R2_001.fastq.gz	MAN8939	MAN8939_L1
/data/analysis/20191223_ivar/MAN8953_S1_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/MAN8953_S1_L001_R2_001.fastq.gz	MAN8953	MAN8953_L1
/data/analysis/20191223_ivar/MAN9389_S3_L001_R1_001.fastq.gz	/data/analysis/20191223_ivar/MAN9389_S3_L001_R2_001.fastq.gz	MAN9389	MAN9389_L1
